,coef
fatalCVD,1407.082
fatalNONCVD,1067.585
firsteventMI,4658.401
MIdiabetes,642.981
firsteventMI2,1165.529
MIdiabetes2,792.1736
firsteventMI3,590.4052
MIdiabetes3,701.3234
firsteventMI4,642.1474
MIdiabetes4,330.0364
feMI,475.3421
feMIdiabetes,269.4065
firsteventStroke_I,3029.451
firsteventStroke_I2,619.5489
firsteventStroke_I3,414.803
firsteventStroke_I4,261.6241
feSTROKE_I,255.8598
firsteventStroke_H,2873.502
firsteventStroke_H2,789.5051
firsteventStroke_H3,218.2812
firsteventStroke_H4,300.7072
feSTROKE_H,251.3705
age0,4.386101
timeperiod,3.517558
diabetes,144.085
hist_liver,198.1358
hist_hf,143.1801
hist_af,83.51508
hist_pad,160.8558
hist_copd,117.4043
hist_cancer,107.3467
hist_renal,200.6265
sex,-23.3696
CHD,82.48294
NSTEMI,218.6818
STEMI,111.1799
UA,162.5023
_cons,178.9177
