,coef
fatalCVD,2071.154
fatalNONCVD,1737.021
firsteventMI,4853.539
MIdiabetes,673.6347
firsteventMI2,1209.201
MIdiabetes2,1041.592
firsteventMI3,639.8029
MIdiabetes3,660.1055
firsteventMI4,674.8058
MIdiabetes4,403.1951
feMI,481.3558
feMIdiabetes,279.5323
firsteventStroke_I,5957.163
firsteventStroke_I2,1150.633
firsteventStroke_I3,675.2055
firsteventStroke_I4,538.916
feSTROKE_I,447.9236
firsteventStroke_H,6835.762
firsteventStroke_H2,1517.451
firsteventStroke_H3,585.3727
firsteventStroke_H4,393.0389
feSTROKE_H,669.6003
age0,6.195181
timeperiod,6.529769
diabetes,193.9137
hist_liver,278.9491
hist_hf,247.7274
hist_af,220.5083
hist_pad,242.4746
hist_copd,141.6368
hist_cancer,153.7147
hist_renal,417.7108
sex,-22.75226
CHD,2.402545
NSTEMI,145.4838
STEMI,28.56164
UA,125.2935
_cons,224.1832
