,fatalCVD,fatalNONCVD,firsteventMI,MIdiabetes,firsteventMI2,MIdiabetes2,firsteventMI3,MIdiabetes3,firsteventMI4,MIdiabetes4,feMI,feMIdiabetes,firsteventStroke_I,firsteventStroke_I2,firsteventStroke_I3,firsteventStroke_I4,feSTROKE_I,firsteventStroke_H,firsteventStroke_H2,firsteventStroke_H3,firsteventStroke_H4,feSTROKE_H,age0,timeperiod,diabetes,hist_liver,hist_hf,hist_af,hist_pad,hist_copd,hist_cancer,hist_renal,sex,CHD,NSTEMI,STEMI,UA,_cons
fatalCVD,21.29847527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fatalNONCVD,0.142156228,17.27863884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventMI,0.109823994,0.096525341,29.54710007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIdiabetes,0.019528663,0.038996398,-29.51500893,57.96479034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventMI2,-0.512782693,-0.352966607,2.719971418,0.016314367,31.51343727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIdiabetes2,-0.13756153,-0.043704249,-2.685591698,5.659053802,-31.48365021,62.22457886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventMI3,-0.231459752,-0.125409886,2.721710205,0.017466383,2.653885126,0.015110138,33.41490936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIdiabetes3,-0.08109431,-0.287620366,-2.684802055,5.648488522,-2.621247768,5.50825119,-33.3862381,66.26617432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventMI4,-0.203814492,-0.109190442,2.74317193,0.018766759,2.67500186,0.016480623,2.612987995,0.014739268,34.77154541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIdiabetes4,-0.282801151,-0.04471932,-2.703269005,5.611433029,-2.639087677,5.471930027,-2.580924034,5.342785835,-34.74223328,69.08029938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feMI,-0.210037604,-0.158397466,2.817428589,0.031696722,2.748422861,0.029827571,2.685162544,0.028239982,2.592101574,0.027759481,14.66397381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feMIdiabetes,-0.110293023,-0.100331515,-2.751342297,5.576821327,-2.685658216,5.434461117,-2.626136065,5.303556442,-2.535415649,5.108715534,-14.4063549,29.95616722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
