age,p_mort_men,p_mort_women,p_cvd_mort_men,p_cvd_mort_women
1,0.000187732,0.000146348,1.44E-05,7.93E-06
2,0.000187732,0.000146348,1.44E-05,7.93E-06
3,0.000187732,0.000146348,1.44E-05,7.93E-06
4,0.000187732,0.000146348,1.44E-05,7.93E-06
5,8.89E-05,8.19E-05,3.60E-06,3.78E-06
6,8.89E-05,8.19E-05,3.60E-06,3.78E-06
7,8.89E-05,8.19E-05,3.60E-06,3.78E-06
8,8.89E-05,8.19E-05,3.60E-06,3.78E-06
9,8.89E-05,8.19E-05,3.60E-06,3.78E-06
10,0.000105658,8.25E-05,4.91E-06,3.22E-06
11,0.000105658,8.25E-05,4.91E-06,3.22E-06
12,0.000105658,8.25E-05,4.91E-06,3.22E-06
13,0.000105658,8.25E-05,4.91E-06,3.22E-06
14,0.000105658,8.25E-05,4.91E-06,3.22E-06
15,0.000315719,0.000147978,1.85E-05,1.77E-05
16,0.000315719,0.000147978,1.85E-05,1.77E-05
17,0.000315719,0.000147978,1.85E-05,1.77E-05
18,0.000315719,0.000147978,1.85E-05,1.77E-05
19,0.000315719,0.000147978,1.85E-05,1.77E-05
20,0.000479914,0.000204901,2.88E-05,1.53E-05
21,0.000479914,0.000204901,2.88E-05,1.53E-05
22,0.000479914,0.000204901,2.88E-05,1.53E-05
23,0.000479914,0.000204901,2.88E-05,1.53E-05
24,0.000479914,0.000204901,2.88E-05,1.53E-05
25,0.000571443,0.000267394,5.05E-05,1.97E-05
26,0.000571443,0.000267394,5.05E-05,1.97E-05
27,0.000571443,0.000267394,5.05E-05,1.97E-05
28,0.000571443,0.000267394,5.05E-05,1.97E-05
29,0.000571443,0.000267394,5.05E-05,1.97E-05
30,0.000756957,0.00041456,8.85E-05,4.16E-05
31,0.000756957,0.00041456,8.85E-05,4.16E-05
32,0.000756957,0.00041456,8.85E-05,4.16E-05
33,0.000756957,0.00041456,8.85E-05,4.16E-05
34,0.000756957,0.00041456,8.85E-05,4.16E-05
35,0.001094439,0.000640457,0.000168461,9.26E-05
36,0.001094439,0.000640457,0.000168461,9.26E-05
37,0.001094439,0.000640457,0.000168461,9.26E-05
38,0.001094439,0.000640457,0.000168461,9.26E-05
39,0.001094439,0.000640457,0.000168461,9.26E-05
40,0.001676898,0.000997559,0.000354844,0.000136719
41,0.001676898,0.000997559,0.000354844,0.000136719
42,0.001676898,0.000997559,0.000354844,0.000136719
43,0.001676898,0.000997559,0.000354844,0.000136719
44,0.001676898,0.000997559,0.000354844,0.000136719
45,0.002423325,0.00160548,0.000591424,0.000216737
46,0.002423325,0.00160548,0.000591424,0.000216737
47,0.002423325,0.00160548,0.000591424,0.000216737
48,0.002423325,0.00160548,0.000591424,0.000216737
49,0.002423325,0.00160548,0.000591424,0.000216737
50,0.003619804,0.002502127,0.001004811,0.00036588
51,0.003619804,0.002502127,0.001004811,0.00036588
52,0.003619804,0.002502127,0.001004811,0.00036588
53,0.003619804,0.002502127,0.001004811,0.00036588
54,0.003619804,0.002502127,0.001004811,0.00036588
55,0.00586943,0.004044759,0.001625889,0.000642722
56,0.00586943,0.004044759,0.001625889,0.000642722
57,0.00586943,0.004044759,0.001625889,0.000642722
58,0.00586943,0.004044759,0.001625889,0.000642722
59,0.00586943,0.004044759,0.001625889,0.000642722
60,0.009469567,0.006242054,0.002504611,0.001026895
61,0.009469567,0.006242054,0.002504611,0.001026895
62,0.009469567,0.006242054,0.002504611,0.001026895
63,0.009469567,0.006242054,0.002504611,0.001026895
64,0.009469567,0.006242054,0.002504611,0.001026895
65,0.014547088,0.009573394,0.003977752,0.00188401
66,0.014547088,0.009573394,0.003977752,0.00188401
67,0.014547088,0.009573394,0.003977752,0.00188401
68,0.014547088,0.009573394,0.003977752,0.00188401
69,0.014547088,0.009573394,0.003977752,0.00188401
70,0.024939318,0.016395066,0.007149875,0.003733495
