,fatalCVD,fatalNONCVD,firsteventMI,MIdiabetes,firsteventMI2,MIdiabetes2,firsteventMI3,MIdiabetes3,firsteventMI4,MIdiabetes4,feMI,feMIdiabetes,firsteventStroke_I,firsteventStroke_I2,firsteventStroke_I3,firsteventStroke_I4,feSTROKE_I,firsteventStroke_H,firsteventStroke_H2,firsteventStroke_H3,firsteventStroke_H4,feSTROKE_H,age0,timeperiod,diabetes,hist_liver,hist_hf,hist_af,hist_pad,hist_copd,hist_cancer,hist_renal,sex,CHD,NSTEMI,STEMI,UA,_cons
fatalCVD,24.87786674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fatalNONCVD,0.157791495,20.16053772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventMI,0.12750788,0.106415652,34.41317749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIdiabetes,0.018654171,0.045130968,-34.37486649,67.54433441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventMI2,-0.597983837,-0.417052686,3.408181906,0.019532964,36.67349243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIdiabetes2,-0.164493605,-0.050975684,-3.366542101,7.123353958,-36.63760376,72.44083405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventMI3,-0.276157439,-0.153662711,3.406344652,0.021109404,3.298988819,0.018239478,38.8649292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIdiabetes3,-0.098525032,-0.337144762,-3.361241341,7.101614475,-3.259351015,6.874142647,-38.8302803,77.09631348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventMI4,-0.245408505,-0.135590702,3.433123827,0.02283765,3.325116158,0.020014731,3.230127335,0.01781412,40.4278183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIdiabetes4,-0.33491531,-0.056560002,-3.384070873,7.048733711,-3.281285524,6.822759151,-3.191206932,6.621659279,-40.39242935,80.33053589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feMI,-0.255261332,-0.194352269,3.55408287,0.039724879,3.443338871,0.037090071,3.345449924,0.034839462,3.214129925,0.033967167,17.36129189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feMIdiabetes,-0.131119624,-0.123719029,-3.471244574,7.075554848,-3.365472078,6.845046043,-3.27275753,6.640710354,-3.14475131,6.364731312,-17.05272102,35.51618958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_I,0.130161002,0.145549715,0.062149104,0.038104329,0.056628086,0.03414306,0.052316397,0.03104309,0.050223369,0.029262643,0.201218605,0.104393221,36.00805283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_I2,-0.429911852,-0.497621328,0.066406526,0.039634757,0.061097819,0.035831708,0.056864131,0.0328415,0.05486951,0.03120221,0.224584401,0.113943487,3.120544672,37.89940643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_I3,-0.278980345,-0.224177241,0.070525244,0.041545074,0.065418027,0.03784474,0.061249286,0.034905251,0.059334222,0.033358276,0.246794283,0.123802297,3.102843046,3.004146099,40.82099533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_I4,-0.221523747,-0.238769606,0.074762933,0.043570641,0.069702178,0.039893556,0.065508261,0.036948036,0.06363754,0.035453886,0.26782009,0.13316676,3.115416288,3.016545534,3.006701946,42.79593658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feSTROKE_I,-0.277466238,-0.199594989,0.11120984,0.061469547,0.10573335,0.057473522,0.100793175,0.054119535,0.098970406,0.052833706,0.435020745,0.208434597,3.302823067,3.199261665,3.187913895,3.112849236,18.90620995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_H,0.121429719,0.12707454,0.060144603,0.033000559,0.054713093,0.029767552,0.050509766,0.027158475,0.048410948,0.02576407,0.191544011,0.093227252,0.062271431,0.058029141,0.053244509,0.050693069,0.177036971,125.4108276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_H2,-0.500802815,-0.571843624,0.061252814,0.033871714,0.056433119,0.030988118,0.052716572,0.028595112,0.050978914,0.0273475,0.209781975,0.101782061,0.066101722,0.062198635,0.057552282,0.055148382,0.196433932,11.09056568,138.3566895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_H3,-0.703468323,-0.18857874,0.064881489,0.034693699,0.060505021,0.032185327,0.05698001,0.030049389,0.055362228,0.028981695,0.232373491,0.110687166,0.069936119,0.066374063,0.061893512,0.059592512,0.21575731,10.71872807,10.86262512,154.464386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firsteventStroke_H4,0.00285685,-0.088272996,0.069249339,0.033762619,0.065032981,0.031802852,0.061525885,0.030013215,0.060009755,0.029325364,0.255236447,0.115708143,0.074251056,0.070935316,0.066466883,0.064212754,0.23553741,10.54574871,10.68726444,11.06101799,164.0858002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feSTROKE_H,-0.314151078,-0.153135836,0.106038995,0.050196666,0.101270109,0.048224282,0.097021334,0.046156649,0.095476761,0.045735918,0.420099914,0.187815458,0.114071332,0.110580757,0.104819886,0.102090806,0.38549754,11.32352734,11.47490215,11.87552547,11.77206421,70.4621582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
age0,-0.012136716,-0.01343428,-0.002960765,-0.001209772,-0.001798969,-0.000848996,-0.001169137,-0.000615685,-0.000953241,-0.000412419,-0.001898348,-0.000997925,-0.004418294,-0.003526812,-0.002786998,-0.002421787,-0.006007318,-0.00111872,-0.000810711,-0.000468731,-0.000357535,-0.000971026,0.418486118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timeperiod,-0.005509098,-0.008467731,-0.004725683,-0.002286489,-0.004792142,-0.002304889,-0.004771254,-0.002292682,-0.004838868,-0.002361976,-0.023996115,-0.010712896,-0.005493648,-0.005574167,-0.005466104,-0.005453911,-0.022233116,-0.001413568,-0.001380244,-0.001330226,-0.001342676,-0.005644803,0.004326263,0.175297827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diabetes,-0.065954402,-0.025189767,0.195887893,-0.550751328,0.163918391,-0.467763782,0.140673727,-0.405945957,0.125100702,-0.358888,0.308994651,-0.954612255,-0.040117696,-0.032273311,-0.028922001,-0.026218841,-0.061252464,-0.003287891,-0.005937619,-0.004625934,0.000413561,0.003811722,0.367467314,0.125452876,13.63048935,0,0,0,0,0,0,0,0,0,0,0,0,0
hist_liver,-0.086887434,-0.328417659,-0.025626656,-0.050961975,0.003960318,-0.023326291,-0.006333969,-0.012653998,-0.009974876,0.001436272,-0.000852004,-0.064539462,-0.03194771,-0.031817913,-0.030090732,-0.014806746,0.013912062,0.021973584,0.027546868,0.021949736,0.017598573,0.043445121,1.365975499,0.231051952,-1.452324629,50.66288376,0,0,0,0,0,0,0,0,0,0,0,0
hist_hf,-0.271006882,-0.193330646,-0.034554403,-0.034643494,-0.022861036,-0.022829369,-0.016894307,-0.013076264,-0.011914331,-0.008922394,-0.030984294,-0.039497998,-0.034284916,-0.024743384,-0.017664209,-0.017353056,-0.042994332,0.004135343,0.001569737,0.00052202,0.00537601,0.017947389,-2.541991234,0.185201243,-0.900540471,-0.244983584,11.92190933,0,0,0,0,0,0,0,0,0,0,0
hist_af,-0.097854093,-0.067902327,0.005708739,0.01512634,0.003445454,0.007664115,0.009448545,0.008751247,0.008339182,0.009340174,0.018273514,0.031320252,-0.072466165,-0.056909151,-0.042144712,-0.034707826,-0.094244912,-0.034483731,-0.021716535,-0.020983199,-0.021485848,-0.071967497,-2.216113091,0.204432711,0.256915182,-0.072965369,-3.140091181,13.78821564,0,0,0,0,0,0,0,0,0,0
hist_pad,-0.146080747,-0.096732281,-0.077409081,-0.062968306,-0.063051343,-0.043355364,-0.051834892,-0.0421932,-0.045525964,-0.034663197,-0.098555632,-0.064547136,-0.044924729,-0.042570658,-0.033838581,-0.03376963,-0.088693723,0.00588689,0.003223208,0.000223041,0.000991435,0.006850293,-1.074565887,0.106765777,-1.100181103,-0.095149279,-1.207387328,-0.637406945,17.67406273,0,0,0,0,0,0,0,0,0
hist_copd,0.002624633,-0.113139704,-0.022859085,-0.00760789,-0.020023961,-0.00843392,-0.013324753,-0.004883368,-0.012897118,-0.004416919,-0.03476714,0.00328156,0.003401863,0.004699277,0.000542225,-0.000882257,-0.006929622,0.003046437,0.001282664,0.002192101,-0.001102837,-0.005882285,0.234191209,0.083722912,-0.16478008,-0.192655087,-1.348971128,-0.359924853,-0.480492026,11.48326588,0,0,0,0,0,0,0,0
hist_cancer,0.011120518,-0.470110387,-0.014034714,0.003789425,-0.011137391,0.004612856,-0.003592396,0.003625185,-0.00231994,0.007319369,-0.006065715,0.0235363,0.015563971,0.005624091,0.004474712,0.005505305,0.004101605,0.012587317,0.008402489,0.004655716,0.005732024,0.005638657,-2.41882205,0.23724623,0.058127183,-0.10712973,-0.672809005,-0.759720504,-0.317768276,-0.310935915,17.30050659,0,0,0,0,0,0,0
hist_renal,-0.078288406,-0.065504521,-0.007436884,-0.045950942,-0.001776394,-0.017554119,0.002433605,-0.003036272,0.000886678,-0.007341887,0.001139772,-0.003901094,0.025440667,0.018428037,0.023074126,0.02301975,0.030262444,-0.018577013,-0.011671981,0.003890816,-0.002038147,0.001054778,-1.28608799,0.678199947,-2.11697793,-0.233945429,-2.575817823,-1.45319593,-1.342417121,-0.618533373,-1.008107305,20.48230362,0,0,0,0,0,0
sex,0.071363114,0.063335031,0.040396243,0.015769301,0.033945203,0.010903225,0.030014971,0.01092865,0.026132077,0.008179858,0.079363205,0.032414664,0.008714925,0.006515694,0.006638803,0.005315403,0.016912652,0.014894701,0.011784418,0.011454592,0.005183492,0.005782243,-1.767917395,0.003253203,0.346031308,0.136562243,-1.152993798,0.004032059,0.322014511,-0.510763049,-0.084716052,-0.128137067,9.838795662,0,0,0,0,0
CHD,-0.035703637,0.043100242,-0.047055464,-0.013339235,-0.040305216,-0.01173351,-0.037614111,-0.010632725,-0.034875285,-0.01061065,-0.078814156,-0.026278134,-0.002029059,-0.005103469,-0.003835294,-0.00352558,-0.015676863,-0.000158866,0.002290291,0.002119814,-0.002735052,-0.01335533,-0.929376304,-0.174165964,-0.19404164,0.166907161,-0.857171357,0.049691908,-0.636808038,0.255398393,-0.095857993,0.084925935,1.467131495,12.22650337,0,0,0,0
